college,total,female,male,diff
Business,324,0.38,0.62,24
CALS,763,0.44,0.56,12
Design,213,0.5,0.5,0
Engineering,1363,0.24,0.76,52
Human Sciences,697,0.73,0.27,-46
Interdepartmental,404,0.51,0.49,-2
LAS,1186,0.4,0.6,20
Vet Med,146,0.49,0.51,2
