series_id,year,period,value,date,area_code,base_period,series_title,begin_year,begin_period,end_year,end_period,area_name,region,sort_sequence
CUURA210SA0,2001,3,172.3,2001-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2001,5,173.7,2001-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2001,7,173.4,2001-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2001,9,174.6,2001-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2001,11,172.3,2001-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2002,1,171.4,2002-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2002,3,173.7,2002-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2002,5,173,2002-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2002,7,173.4,2002-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2002,9,174.6,2002-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2002,11,173.4,2002-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2003,1,173.5,2003-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2003,3,175.4,2003-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2003,5,175.1,2003-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2003,7,176,2003-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2003,9,178.5,2003-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2003,11,177.6,2003-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2004,1,178.4,2004-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2004,3,180,2004-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2004,5,181.3,2004-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2004,7,181.7,2004-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2004,9,183.8,2004-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2004,11,183.2,2004-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2005,1,183.3,2005-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2005,3,186.3,2005-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2005,5,186.8,2005-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2005,7,187.8,2005-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2005,9,191.6,2005-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2005,11,189.9,2005-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2006,1,190.3,2006-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2006,3,190.7,2006-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2006,5,192.4,2006-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2006,7,193.1,2006-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2006,9,190.7,2006-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2006,11,189.4,2006-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2007,1,191.60999999999999,2007-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2007,3,194.24399999999997,2007-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
