Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
14,6,1.97,103410,23500,2870,1273.4,64240,182.9,18.14,679,2.06,32.33,49.55,10.98,4.24,9.61,3.93,1.286,1.14
14,7,2.31,103090,23570,2883,1265,64740,186,18.27,679,2.21,32.27,49.9,11.26,4.34,9.65,3.73,1.4,1.167
14,8,1.66,103660,23440,2894,1262,64610,180.3,18.67,693,2.27,31.56,49.6,11.19,4.25,9.39,3.8,1.289,1.163
14,9,2.19,103710,23380,2881,1262.6,63840,185.6,18.3,672,2.12,31.94,46.9,10.72,4.35,9.57,3.55,1.26,1.166
14,10,1.83,103580,23190,2866,1273,63750,178.5,18.35,683,2.05,31.96,45.9,10.97,4.26,9.54,3.61,1.2,1.128
14,11,2.31,103450,23640,2893,1266,64890,178.3,18.45,685,2.2,32.51,48,11.15,4.35,9.72,3.72,1.25,1.119
14,12,2.4,104210,23930,2971,1281,66550,186.5,18.97,682,2.13,32.91,47.9,11.73,4.37,9.72,3.8,1.27,1.092
14,13,2.24,103510,23490,2868,1263,64400,182.5,18.08,665,2.25,32.5,48.9,10.11,4.27,9.62,3.77,1.22,1.14
14,14,1.56,103300,23730,2963,1286,65400,179.2,18.19,697,2.17,32.24,51.8,11.03,4.49,9.81,3.57,1.315,1.132
14,15,1.95,103530,23650,2896,1269,64300,183,18.07,685,2.08,32.44,49,11.21,4.28,9.78,3.72,1.341,1.148
14,16,2.72,103810,23470,2843,1287,64230,177.3,18.02,661,2.26,32.04,49.8,11.35,4.21,9.65,3.42,1.31,1.166
14,17,2.15,103600,23480,2948,1281,65380,177.1,18.13,657,2.2,31.49,52.1,11.32,4.21,9.4,3.45,1.54,1.126
14,18,1.5,104500,23630,2920,1271,65070,187.6,18.52,676,2.09,32.37,49.3,11.32,4.19,9.85,3.49,1.354,1.078
14,19,2.41,104510,23650,2927,1286,65510,187.7,18.61,687,2.15,32.49,50.9,10.55,4.46,9.86,3.74,1.283,1.202
14,20,1.94,103710,23680,2918,1284,64830,184.5,18.34,697,2.11,32.96,46.09,10.93,4.34,9.8,3.5,1.199,1.172
15,1,2.02,103030,23360,2758,1272,64060,167.8,18.18,671,2.17,31.91,45.42,10.35,4.02,9.23,3.46,1.095,1.083
15,2,1.77,103460,23120,2803,1279,63850,174.1,18.56,670,2.02,31.65,47.9,10.53,4.25,9.28,3.57,1.23,1.183
15,3,2.34,105500,23190,2787,1297,64150,179.1,18.21,679,2.05,31.89,47.2,11.31,4.03,9.46,3.67,1.19,1.137
15,4,2.19,104180,23160,2777,1276,64010,177.6,18.38,690,2.39,32.12,44.9,10.78,4.21,9.38,3.45,1.11,1.139
15,5,2.01,103280,23480,2726,1286,63820,167.7,18.73,708,2.2,31.94,45.33,11.36,4.23,9.64,3.37,1.165,1.112
16,1,2.13,103000,23310,2841,1271,64150,181.7,18.59,687,1.97,32.04,46.8,10.94,4.24,9.75,3.37,1.23,1.221
16,2,1.85,103230,23280,2766,1257.1,63780,183.6,18.11,674,2.16,31.7,46.57,10.72,4.13,9.45,3.6,1.222,1.124
16,3,1.98,102820,23080,2743,1267,63330,173.2,18.07,663,2.03,31.38,45.3,10.13,4.06,9.48,3.51,1.101,1.217
16,4,1.88,103470,23290,2758,1268,64180,169,18.46,673,2.28,31.59,49.04,10.91,4.1,9.4,3.56,1.29,1.117
16,5,2.46,102330,23380,2749,1254,64240,177.1,18.68,660,2.12,31.91,44.74,12.2,4.21,9.37,3.36,1.161,1.115
17,1,1.97,104500,23270,2637,1277,62990,170.7,18.49,656,2.22,31.28,39.84,11.57,3.98,9.78,3.52,1.02,1.068
17,2,2.16,103170,23230,2687,1275,63210,178,18.34,676,2.11,32,41.5,11.13,3.95,9.46,3.55,1.16,1.105
17,3,1.74,102610,23160,2717,1259,62840,170,18.09,667,2.27,31.3,44.6,10.69,4.01,9.19,3.5,1.114,1.042
17,4,1.87,103050,23330,2709,1272.3,63910,174.5,17.99,672,2.3,31.39,44.7,11.17,4.05,9.49,3.39,1.176,1.055
17,5,2.07,103060,23200,2698,1269,62960,173.9,17.86,658,2.2,30.64,43.74,10.5,4.03,9.36,3.49,1.084,1.057
18,1,2.21,102020,23130,2705,1268,63410,184.3,18.16,662,1.99,31.92,44,10.67,4.1,9.43,3.42,1.043,1.138
18,2,2.12,103200,23370,2794,1267,64100,179.2,18.5,669,2.13,31.86,46.8,10.92,3.95,9.46,3.55,1.21,1.115
18,3,2.15,102900,23240,2722,1259,62880,176.1,17.85,651,2.09,30.94,45.2,10.63,3.95,9.13,3.2,1.136,1.119
18,4,2.02,102680,23180,2690,1280,62980,182.6,18.56,674,2.06,31.76,43.5,10.22,4.09,9.4,3.63,1.1,1.133
18,5,2.74,103300,23150,2698,1264,62750,171.7,18.27,670,2.01,31.01,43.7,11.18,4.14,9.53,3.45,1.17,1.126
19,1,2.15,102590,23190,2804,1277,64280,174,18.44,688,2.17,31.89,45.3,10.74,4.11,9.32,3.25,1.11,1.119
19,2,1.9,102470,22470,2711,1271,62830,176.9,17.34,661,2.13,31.13,45.3,10.95,3.93,9.54,3.2,1.2,1.186
19,3,2.18,103660,23190,2801,1263.1,64220,173.4,17.8,665,2.19,32.02,46.83,10.67,4.12,9.55,3.47,1.26,1.12
19,4,1.97,103780,23220,2858,1271.4,64130,181.7,18.18,673,2.09,31.53,46.9,10.88,4.07,9.34,3.46,1.13,1.092
19,5,1.96,103130,23230,2723,1271,63440,175.1,18.87,682,2.19,31.41,39.4,11.12,4.06,9.52,3.73,1.142,1.095
20,1,2.17,103250,23570,2814,1275,64120,174.3,18.02,665,2.49,32.34,46.77,10.75,4.12,9.37,3.19,1.18,1.145
20,2,1.68,99770,22530,2613,1220,60350,173.5,18.02,677,2.3,30.56,42.52,10.6,4.08,9.26,3.45,1.145,1.084
20,3,2.12,101700,22940,2647,1250,61720,175.4,17.9,688,2.09,30.88,43.1,10.31,3.98,9.25,3.22,1.109,1.048
20,4,2.69,101480,23020,2706,1249,62240,170.8,17.85,660,1.97,31.12,43.9,10.13,4.04,9.29,3.39,1.12,1.058
20,5,1.89,101130,23020,2716,1252,63140,169.8,17.65,674,2.09,31.12,45.09,11.05,4.02,9.18,3.22,1.14,1.074
21,1,2.16,102920,23180,2783,1260,63420,172.8,18.23,667,1.94,31.45,45.29,11.25,4.02,9.31,3.4,1.238,1.108
21,2,2.44,103070,23460,2857,1272,64540,171.4,17.95,681,2.13,32.18,46.59,10.8,4.15,9.43,3.63,1.26,1.102
21,3,1.86,102130,23390,2833,1242,63640,182.1,18.24,689,2.12,31.98,44.4,10.66,4.05,9.37,3.74,1.26,1.01
21,4,2.49,103380,23560,2972,1260,65330,175.1,18.64,667,2.22,32.2,49.9,11.47,4.25,9.38,3.53,1.26,1.091
21,5,2.25,103610,23590,2959,1272,65360,181,18.09,687,2.05,32.23,48.8,10.31,4.1,9.58,3.4,1.301,1.117
22,1,2.2,102260,23050,2717,1251,62840,179.7,18.02,684,2.21,30.88,42.84,11.32,4.01,9.41,3.46,1.122,1.105
22,2,1.96,102640,23010,2727,1261,62400,175.2,18.24,652,2.16,31.27,43.7,10.88,3.97,9.2,3.31,1.12,1.121
22,3,1.91,103210,23270,2723,1272,63280,169.2,18.4,675,2.07,30.78,43.96,11,4.02,9.26,3.6,1.11,1.197
22,4,2.09,102420,23270,2833,1255,64290,176.2,17.64,669,2.1,31.7,45.74,10.53,4.22,9.35,3.69,1.161,1.112
22,5,2.26,103910,23180,2802,1268.2,63520,168.3,18.16,695,2.06,31.4,48.1,10.85,4.2,9.41,3.49,1.34,1.145
23,1,2.25,102670,23530,2956,1255,64760,177.6,18.22,678,2.17,32.29,48.9,11.01,4.1,9.53,3.47,1.28,1.121
23,2,2.32,102260,23330,2898,1260,64380,181.5,18.1,690,2.19,32.24,47.03,10.7,4.11,9.37,3.73,1.299,1.102
23,3,1.86,102770,23430,2902,1251.1,64650,177.5,18.42,683,2.2,32.26,46.8,10.67,4.34,9.3,3.6,1.24,1.031
23,4,2.27,102700,23400,2850,1251,63670,173.8,18.15,686,2.05,31.31,45.1,10.25,4.3,9.44,3.53,1.149,1.136
23,5,2.03,103250,23430,2845,1255.4,64260,180.1,18.38,678,2.28,31.59,45.8,10.77,4.16,9.48,3.47,1.301,1.026
24,1,2.21,103600,22960,2755,1272,62800,174.5,18.36,679,2.24,31.66,44.8,10.54,4.05,9.31,3.37,1.171,1.19
24,2,1.76,103340,23280,2774,1276,63410,169.5,18.23,680,2.31,31.45,44.31,10.61,3.96,9.42,3.52,1.213,1.042
24,3,1.86,103180,23470,2866,1263,64680,182.4,18.55,676,2.28,32.17,47.4,10.99,4.17,9.45,3.36,1.21,1.059
24,4,2.11,103550,23450,2938,1267,64960,189.2,18.4,671,2.25,32.53,49.7,11.53,4.31,9.54,3.59,1.295,1.112
24,5,1.66,103070,23310,2920,1265,64530,180.9,18.49,691,2.17,32.59,49.1,11.12,4.34,9.69,3.69,1.26,1.121
24,6,1.95,102580,23270,2911,1256,63750,183.1,18.27,669,2.1,31.74,49.5,11.04,4.33,9.44,3.67,1.29,1.108
24,7,1.89,102520,23480,2997,1273,65150,172.7,18.43,702,2.27,32.39,51.4,11.07,4.19,9.24,3.78,1.27,1.116
24,8,1.57,103190,23580,3012,1260.8,65790,180.4,18.06,678,2.21,32.08,52.3,11.19,4.21,9.55,3.75,1.278,1.115
24,9,1.79,103500,23550,2985,1283,65430,183.7,18.82,687,2.08,32.23,51.4,10.57,4.31,9.46,3.48,1.37,1.063
24,10,2.04,103600,23430,2945,1275,64650,182.5,18.69,675,2.11,32.18,50.3,10.93,4.2,9.21,3.49,1.36,1.001
24,11,1.74,102720,23400,2986,1277,65890,183.8,18.33,689,2.23,32.87,49.7,11.19,4.19,9.31,3.34,1.27,1.051
24,12,2.12,103800,23610,2998,1278,65760,175.1,18.14,678,2.34,32.03,52.3,10.63,4.28,9.33,3.46,1.384,1.101
24,13,2.12,102590,22720,2925,1251,63430,172.9,18.56,696,2.16,31.25,49.6,10.36,4.17,9,3.58,1.15,1.049
24,14,1.66,101790,22580,2952,1256,62460,181,17.72,663,2.1,31.28,47,10.77,4.25,8.94,3.45,1.29,1.121
24,15,1.83,101410,22400,2879,1256,62370,180,18.07,671,2.12,31.06,46.3,10.02,4.17,8.77,3.45,1.17,1.088
24,16,2.26,99080,22940,2924,1218.1,64100,177.1,18.31,653,2.24,31.08,45.9,10.8,4.16,9.09,3.52,1.14,0.971
24,17,2.29,102660,23420,2938,1264,64740,178.5,18.46,656,2.12,31.8,48.7,11.43,4.32,9.11,3.66,1.32,1.089
24,18,1.82,102630,23350,2960,1271,65050,186.1,18.81,690,1.99,31.66,50.3,10.83,4.29,9.39,3.53,1.34,1.018
24,19,1.9,102720,23630,2984,1273,65510,186,18.05,693,2.05,32.32,50,10.96,4.33,9.56,3.51,1.26,1.062
24,20,1.86,102450,23240,2935,1275,64690,183,18.2,678,2.2,31.86,49.7,10.76,4.15,9.38,3.57,1.32,1.043
